"newly_explored","reduntantly_explored","tick"
12.0,108.0,1.0
59.0,685.0,6.0
139.0,1226.0,11.0
243.0,1755.0,16.0
353.0,2282.0,21.0
469.0,2810.0,26.0
594.0,3312.0,31.0
718.0,3821.0,36.0
856.0,4323.0,41.0
995.0,4814.0,46.0
1153.0,5283.0,51.0
1276.0,5797.0,56.0
1408.0,6289.0,61.0
1515.0,6803.0,66.0
1618.0,7320.0,71.0
1725.0,7840.0,76.0
1830.0,8372.0,81.0
1917.0,8919.0,86.0
1991.0,9473.0,91.0
2062.0,10050.0,96.0
2105.0,10639.0,101.0
2151.0,11218.0,106.0
2182.0,11820.0,111.0
2206.0,12438.0,116.0
2242.0,13028.0,121.0
2277.0,13622.0,126.0
2334.0,14186.0,131.0
2387.0,14756.0,136.0
2429.0,15333.0,141.0
2470.0,15920.0,146.0
2499.0,16529.0,151.0
2529.0,17130.0,156.0
2565.0,17722.0,161.0
2603.0,18310.0,166.0
2656.0,18877.0,171.0
2735.0,19424.0,176.0
2810.0,19976.0,181.0
2888.0,20535.0,186.0
2925.0,21117.0,191.0
2956.0,21710.0,196.0
2973.0,22318.0,201.0
3015.0,22921.0,206.0
3046.0,23520.0,211.0
3112.0,24079.0,216.0
3158.0,24660.0,221.0
3213.0,25238.0,226.0
3264.0,25795.0,231.0
3294.0,26375.0,236.0
3304.0,26986.0,241.0
3323.0,27586.0,246.0
3344.0,28194.0,251.0
3372.0,28784.0,256.0
3412.0,29365.0,261.0
3479.0,29932.0,266.0
3515.0,30525.0,271.0
3554.0,31106.0,276.0
3623.0,31661.0,281.0
3664.0,32247.0,286.0
3704.0,32844.0,291.0
3748.0,33424.0,296.0
3796.0,33999.0,301.0
3837.0,34586.0,306.0
3871.0,35178.0,311.0
3912.0,35767.0,316.0
3955.0,36349.0,321.0
3988.0,36950.0,326.0
4017.0,37545.0,331.0
4051.0,38161.0,336.0
4078.0,38761.0,341.0
4108.0,39355.0,346.0
4142.0,39959.0,351.0
4168.0,40546.0,356.0
4199.0,41140.0,361.0
4252.0,41705.0,366.0
4295.0,42286.0,371.0
4322.0,42894.0,376.0
4341.0,43501.0,381.0
4371.0,44084.0,386.0
4411.0,44643.0,391.0
4428.0,45236.0,396.0
4451.0,45842.0,401.0
4481.0,46432.0,406.0
4527.0,47017.0,411.0
4546.0,47600.0,416.0
4577.0,48184.0,421.0
4614.0,48729.0,426.0
4657.0,49297.0,431.0
4691.0,49875.0,436.0
4720.0,50475.0,441.0
4741.0,51089.0,446.0
4767.0,51691.0,451.0
4790.0,52298.0,456.0
4804.0,52908.0,461.0
4809.0,53493.0,466.0
4833.0,54071.0,471.0
4852.0,54650.0,476.0
4876.0,55209.0,481.0
4915.0,55744.0,486.0
4945.0,56283.0,491.0
4962.0,56832.0,496.0
5010.0,57407.0,501.0
5044.0,57994.0,506.0
5081.0,58593.0,511.0
5103.0,59201.0,516.0
5163.0,59776.0,521.0
5210.0,60346.0,526.0
5253.0,60903.0,531.0
5291.0,61468.0,536.0
5333.0,62024.0,541.0
5384.0,62591.0,546.0
5422.0,63184.0,551.0
5455.0,63768.0,556.0
5487.0,64364.0,561.0
5519.0,64974.0,566.0
5579.0,65542.0,571.0
5612.0,66146.0,576.0
5637.0,66756.0,581.0
5695.0,67319.0,586.0
5727.0,67863.0,591.0
5753.0,68433.0,596.0
5777.0,69010.0,601.0
5791.0,69570.0,606.0
5812.0,70135.0,611.0
5828.0,70739.0,616.0
5835.0,71354.0,621.0
5865.0,71950.0,626.0
5887.0,72560.0,631.0
5902.0,73180.0,636.0
5935.0,73762.0,641.0
5960.0,74359.0,646.0
5977.0,74968.0,651.0
6009.0,75538.0,656.0
6039.0,76138.0,661.0
6065.0,76727.0,666.0
6090.0,77340.0,671.0
6117.0,77941.0,676.0
6140.0,78547.0,681.0
6146.0,79162.0,686.0
6156.0,79781.0,691.0
6164.0,80376.0,696.0
6177.0,80959.0,701.0
6178.0,81585.0,706.0
6181.0,82217.0,711.0
6192.0,82824.0,716.0
6204.0,83429.0,721.0
6244.0,84014.0,726.0
6257.0,84628.0,731.0
6278.0,85227.0,736.0
6296.0,85839.0,741.0
6314.0,86445.0,746.0
6335.0,87052.0,751.0
6348.0,87675.0,756.0
6355.0,88276.0,761.0
6396.0,88866.0,766.0
6427.0,89470.0,771.0
6468.0,90069.0,776.0
6495.0,90669.0,781.0
6527.0,91263.0,786.0
6576.0,91824.0,791.0
6597.0,92425.0,796.0
6631.0,93005.0,801.0
6653.0,93612.0,806.0
6669.0,94228.0,811.0
6700.0,94825.0,816.0
6715.0,95434.0,821.0
6738.0,96038.0,826.0
6778.0,96628.0,831.0
6832.0,97182.0,836.0
6853.0,97734.0,841.0
6863.0,98332.0,846.0
6882.0,98910.0,851.0
6902.0,99509.0,856.0
6933.0,100106.0,861.0
6939.0,100728.0,866.0
6943.0,101345.0,871.0
6977.0,101931.0,876.0
7021.0,102504.0,881.0
7059.0,103121.0,886.0
7078.0,103737.0,891.0
7096.0,104352.0,896.0
7111.0,104972.0,901.0
7132.0,105568.0,906.0
7167.0,106168.0,911.0
7184.0,106764.0,916.0
7204.0,107345.0,921.0
7225.0,107907.0,926.0
7264.0,108476.0,931.0
7290.0,109063.0,936.0
7308.0,109669.0,941.0
7343.0,110270.0,946.0
7370.0,110868.0,951.0
7408.0,111453.0,956.0
7463.0,112018.0,961.0
7524.0,112593.0,966.0
7549.0,113194.0,971.0
7592.0,113765.0,976.0
7604.0,114350.0,981.0
7633.0,114951.0,986.0
7673.0,115541.0,991.0
7713.0,116131.0,996.0
7765.0,116714.0,1001.0
7805.0,117309.0,1006.0
7821.0,117915.0,1011.0
7856.0,118507.0,1016.0
7864.0,119120.0,1021.0
7883.0,119705.0,1026.0
7894.0,120310.0,1031.0
7910.0,120884.0,1036.0
7917.0,121491.0,1041.0
7926.0,122119.0,1046.0
7945.0,122732.0,1051.0
7961.0,123324.0,1056.0
7975.0,123912.0,1061.0
7995.0,124500.0,1066.0
8009.0,125087.0,1071.0
8019.0,125685.0,1076.0
8030.0,126277.0,1081.0
8040.0,126904.0,1086.0
8068.0,127498.0,1091.0
8091.0,128085.0,1096.0
8100.0,128690.0,1101.0
8109.0,129300.0,1106.0
8139.0,129891.0,1111.0
8169.0,130487.0,1116.0
8193.0,131083.0,1121.0
8203.0,131704.0,1126.0
8222.0,132318.0,1131.0
8258.0,132902.0,1136.0
8287.0,133485.0,1141.0
8306.0,134065.0,1146.0
8316.0,134682.0,1151.0
8323.0,135298.0,1156.0
8339.0,135914.0,1161.0
8349.0,136540.0,1166.0
8353.0,137160.0,1171.0
8365.0,137770.0,1176.0
8377.0,138383.0,1181.0
8393.0,138998.0,1186.0
8404.0,139606.0,1191.0
8409.0,140216.0,1196.0
8426.0,140834.0,1201.0
8438.0,141454.0,1206.0
8447.0,142078.0,1211.0
8452.0,142696.0,1216.0
8462.0,143302.0,1221.0
8473.0,143921.0,1226.0
8503.0,144502.0,1231.0
8512.0,145098.0,1236.0
8532.0,145703.0,1241.0
8561.0,146315.0,1246.0
8567.0,146929.0,1251.0
8587.0,147538.0,1256.0
8600.0,148157.0,1261.0
8605.0,148782.0,1266.0
8614.0,149392.0,1271.0
8631.0,150014.0,1276.0
8648.0,150630.0,1281.0
8656.0,151234.0,1286.0
8662.0,151851.0,1291.0
8662.0,152475.0,1296.0
8673.0,153075.0,1301.0
