"newly_explored","reduntantly_explored","tick"
13.0,117.0,1.0
110.0,659.0,6.0
238.0,1164.0,11.0
390.0,1658.0,16.0
520.0,2158.0,21.0
639.0,2678.0,26.0
750.0,3204.0,31.0
869.0,3707.0,36.0
970.0,4236.0,41.0
1054.0,4787.0,46.0
1107.0,5368.0,51.0
1180.0,5926.0,56.0
1233.0,6502.0,61.0
1278.0,7095.0,66.0
1300.0,7695.0,71.0
1341.0,8261.0,76.0
1375.0,8855.0,81.0
1429.0,9428.0,86.0
1493.0,9980.0,91.0
1529.0,10551.0,96.0
1604.0,11100.0,101.0
1695.0,11627.0,106.0
1755.0,12205.0,111.0
1802.0,12781.0,116.0
1850.0,13367.0,121.0
1882.0,13953.0,126.0
1903.0,14567.0,131.0
1922.0,15172.0,136.0
1968.0,15744.0,141.0
1997.0,16331.0,146.0
2033.0,16934.0,151.0
2107.0,17494.0,156.0
2156.0,18062.0,161.0
2170.0,18679.0,166.0
2215.0,19265.0,171.0
2243.0,19854.0,176.0
2281.0,20452.0,181.0
2350.0,21019.0,186.0
2416.0,21576.0,191.0
2466.0,22164.0,196.0
2508.0,22744.0,201.0
2553.0,23323.0,206.0
2598.0,23906.0,211.0
2642.0,24499.0,216.0
2669.0,25108.0,221.0
2704.0,25701.0,226.0
2740.0,26289.0,231.0
2785.0,26881.0,236.0
2816.0,27481.0,241.0
2854.0,28076.0,246.0
2893.0,28667.0,251.0
2952.0,29238.0,256.0
2979.0,29847.0,261.0
3013.0,30434.0,266.0
3037.0,31027.0,271.0
3083.0,31612.0,276.0
3142.0,32188.0,281.0
3171.0,32790.0,286.0
3206.0,33387.0,291.0
3230.0,33976.0,296.0
3254.0,34541.0,301.0
3291.0,35099.0,306.0
3317.0,35717.0,311.0
3338.0,36316.0,316.0
3352.0,36927.0,321.0
3359.0,37547.0,326.0
3395.0,38128.0,331.0
3429.0,38721.0,336.0
3463.0,39321.0,341.0
3477.0,39930.0,346.0
3496.0,40532.0,351.0
3520.0,41135.0,356.0
3538.0,41751.0,361.0
3566.0,42350.0,366.0
3618.0,42931.0,371.0
3642.0,43542.0,376.0
3653.0,44169.0,381.0
3695.0,44768.0,386.0
3732.0,45358.0,391.0
3764.0,45952.0,396.0
3785.0,46551.0,401.0
3812.0,47153.0,406.0
3847.0,47747.0,411.0
3870.0,48358.0,416.0
3885.0,48954.0,421.0
3915.0,49558.0,426.0
3964.0,50150.0,431.0
4037.0,50699.0,436.0
